Insult,Date,Comment,Usage
1,20120619181848Z,"""well i did...so you're an idiot.""",PublicTest
0,20120611195501Z,"""I have known lots of people on drugs, booze, had their kids taken away, that were in other professions such as nurse, mortgage broker, big time attorney, etc.""",PrivateTest
0,20120530140025Z,"""@El Prez\xa0Spurs are on a different level. I would hate to see it, because I like the Thunder so much, but it would be incredible.""",PrivateTest
1,20120611205007Z,"""Look who's calling the kettle black!\xa0 Egyptian soldiers have killed some.\xa0 Shaken down many others, Sinai Arabs have raped women, shaken them down, and even held some for ransom.\xa0 And you dare to impugn Israel?\xa0 You hypocritical bastard!""",PublicTest
0,,"""""The anti-war Republican,\\' people say, as if that\\'s good enough.\\n\\n \\n\\nBut Ron Paul is much, much more than that.\\n\\n \\n\\nHe\\'s the anti-Civil-Rights-Act Republican.\\n\\nHe\\'s an anti-reproductive-rights Republican.\\n\\nHe\\'s a gay-demonizing Republican.\\n\\nHe\\'s an anti-public education Republican and an anti-Social Security Republican.\\n\\nHe\\'s the John Birch Society\\'s favorite congressman.\\n\\nAnd he\\'s a booster of the Constitution Party, which has a Christian Reconstructionist platform.\\n\\n \\n\\nSo, if you\\'re a member of the anti-woman, anti-gay, anti-black,  anti-senior citizen, anti-equality, anti-education,  pro-communist-witch-hunt wing of the progressive movement, I can see how  he\\'d be your guy.""\\n\\n \\n\\n~Sandy Berman\\n\\n """,PrivateTest
1,20120516001837Z,"""Things get too hot for me? \xa0YOu mean when a pack of reactionary attack dogs write 3-6 deceitful, personal attacks on everything I posts there?\n\nNaw; I just posted another comment, so you can respond with your routine, idiotic and deceitful ""Flagged for smarmy content, and lies."" \xa0FYI, they don't seem to give a shit about your inane and immature knee-jerk reactions.""",PublicTest
1,20120610023148Z,"""you seem to be one of those turd minions I see when I've been playing Diablo""",PrivateTest
0,20120619165033Z,"""Looks like he is being thrown under the bus to cover them politically, and if the bash him,..they can now demand more costly regulations that serve mainly to cost,..we the people a lot more money every year,..it is the same old, same old leftists bull-chit brand of looking busy politics. my opinion""",PrivateTest
0,,"""Samba for Bassong???""",PrivateTest
0,,"""Marriage is a religious ceremony, not a federal right. The act of being gay is a mental illness. It goes against nature and needs to be stopped. A product of the evil one\\xe2\\x80\\xa6.""",PublicTest
0,20120610063448Z,"""I am a electronic product loving people. I like your bolg post. Thanks a lot for your great shearing.""",PublicTest
1,20120528200015Z,"""Please ZuluShaka shut the eff up before you embarrass yourself further. If you can't do it for yourself do it for the kids you may have now or some time in the future who would disown you if they found out you are this dumb. Please shut up for your own parents who would hang themselves in shame if they knew they spawned such idiocy. Shut up for your spouse who may not live with the ridicule if het friends found out she married a lunatic. And please shut up for the teachers wavakarova nerekeni uchitiza chikoro. Please shut up.... log off the internet and go into an asylum""",PrivateTest
0,20120528135217Z,"""You need to find that post..... if you can. I and others find you to be full of it.""",PrivateTest
0,,"""@TinaDexler I know you're still here.  Why won't you answer my questions.  You got awfully silent.""",PrivateTest
0,,"""I would have told her broke ass Norway! too.\\xc2\\xa0 Black white\\xc2\\xa0 it don't matter...ppl are ppl but what is done haunts Black skin and as long as a negro acts like that I will always feel ashamed it's someone from my race.""",PrivateTest
1,20120529051515Z,"""no i am not..... but for you to go threw all that trouble to create a name, saying that im gay......you must be a fuking fagot who has no life and wants attention....get a life!!!""",PrivateTest
1,20120619145438Z,"""go away you trashy\xa0 tramp""",PrivateTest
0,20120515112601Z,"""That is so cute you are whereing that as your senior outfit""",PrivateTest
0,20120610070314Z,"""personalized girls prints or canvas for the little ones""",PublicTest
1,,"""Trolls all over the board.\\xc2\\xa0 There is special place in he ll for those who dance of the graves of good men.\\xc2\\xa0 Go share a beer with the terrorists, more your style, buddy.""",PrivateTest
1,20120619014527Z,"""I wouldn't even know where to start you are such a fucking ignoramus...""",PrivateTest
1,20120619121240Z,"""What's pathetic is your ignorance.""",PrivateTest
0,,"""Scandalous? \\xc2\\xa0So illuminating. \\xc2\\xa0So profound.\\nThe.sour.kraut must expect that anybody that listens to him will just accept his conclusions without presentation of any objective analysis.\\nHe is correct that is all anybody who believes in the pretentious pundit needs. \\xc2\\xa0He knows that there are lickspittles about that suck up his swill.""",PublicTest
1,20120320132605Z,"""You are still a pathetic, whiny child who wasn't disciplined when you were young. I blame your parents.""",PrivateTest
0,20120611190626Z,"""what the fuck\nare you fu king kidding us,\nwe all around the jave one request : xperia play 2 , but sony never care, never hear us,\nwhat that announcement can be? another fucken phone like xperia s !\n\nwe neeeeeeed xperia play 2 , CAN YOU HEAR US SONY ?""",PrivateTest
1,20120618234813Z,"""Hey moron ""soonanTX"", I hope you wore your favorite Tin Foil Hat when you typed your comment.""",PublicTest
